GENESIS-Tabelle: 13211-0002
Arbeitslose, Arbeitslosenquoten, Gemeldete Arbeitsstellen,;;;;;;;;
Kurzarbeiter, Kurzarbeitende Betriebe: Deutschland/;;;;;;;;
Früheres Bundesgebiet/Neue Länder, Monate;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;
;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen;Kurzarbeiter;Kurzarbeitende Betriebe
;;;Anzahl;Prozent;Prozent;Anzahl;Anzahl;Anzahl
Früheres Bundesgebiet;2017;Juli;1897033;5,2;5,8;607282;24073;1960
Früheres Bundesgebiet;2017;August;1922760;5,3;5,9;620302;21241;1727
Früheres Bundesgebiet;2017;September;1847288;5,1;5,6;626418;21257;1787
Früheres Bundesgebiet;2017;Oktober;1796805;5,0;5,5;631953;20475;1780
Früheres Bundesgebiet;2017;November;1778845;4,9;5,4;624844;19483;1903
Früheres Bundesgebiet;2017;Dezember;1782734;4,9;5,5;615660;159372;24041
Früheres Bundesgebiet;2018;Januar;1918351;5,3;5,9;593580;222473;30244
Früheres Bundesgebiet;2018;Februar;1899387;5,3;5,8;616033;277618;36770
Früheres Bundesgebiet;2018;März;1833819;5,1;5,6;627618;248568;32483
Früheres Bundesgebiet;2018;April;1785759;4,9;5,5;632478;19433;1598
Früheres Bundesgebiet;2018;Mai;1738358;4,7;5,2;639076;18249;1467
Früheres Bundesgebiet;2018;Juni;1713219;4,7;5,2;650403;22321;1522
Früheres Bundesgebiet;2018;Juli;1752774;4,8;5,3;667412;17934;1426
Früheres Bundesgebiet;2018;August;1778625;4,8;5,4;672252;30354;1370
Früheres Bundesgebiet;2018;September;1706822;4,7;5,1;678765;33810;1436
Früheres Bundesgebiet;2018;Oktober;1664585;4,5;5,0;672023;37099;1491
Früheres Bundesgebiet;2018;November;1650390;4,5;5,0;656468;41818;1643
Früheres Bundesgebiet;2018;Dezember;1661439;4,5;5,0;634114;128042;18498
Früheres Bundesgebiet;2019;Januar;1806456;4,9;5,4;613001;275547;35105
Früheres Bundesgebiet;2019;Februar;1781551;4,9;5,4;630344;235782;30687
Früheres Bundesgebiet;2019;März;1733134;4,7;5,2;638491;195468;26325
Früheres Bundesgebiet;2019;April;1687593;4,6;5,1;638816;39105;1976
Früheres Bundesgebiet;2019;Mai;1698282;4,6;5,0;636645;42641;2085
Früheres Bundesgebiet;2019;Juni;1687590;4,6;5,0;641631;41928;2062
Früheres Bundesgebiet;2019;Juli;1737215;4,7;5,2;642517;44862;2155
Früheres Bundesgebiet;2019;August;1778550;4,8;5,3;640295;46234;2148
Früheres Bundesgebiet;2019;September;1712542;4,6;5,1;634430;70061;2755
Früheres Bundesgebiet;2019;Oktober;1686110;4,6;5,0;612636;95356;3412
Früheres Bundesgebiet;2019;November;1667208;4,5;5,0;589435;107626;4117
Früheres Bundesgebiet;2019;Dezember;1700480;4,6;5,1;548114;207592;21858
Früheres Bundesgebiet;2020;Januar;1852643;5,0;5,5;531510;308601;30722
Früheres Bundesgebiet;2020;Februar;1831423;4,9;5,4;548165;358154;35420
Früheres Bundesgebiet;2020;März;1788928;4,8;5,3;545910;2289572;298087
Früheres Bundesgebiet;2020;April;2028420;5,5;6,0;492373;5032501;485930
Früheres Bundesgebiet;2020;Mai;2160345;5,8;6,4;456286;4841652;429786
Früheres Bundesgebiet;2020;Juni;2196931;5,9;6,5;443574;3809610;333572
